2022.04.26 12:14:58 ERROR code navigation does not work for the file '/home/bert/Desktop/projects/my-akka-http-project/src/main/scala/com/example/UserRegistry.scala' because the SemanticDB file '/home/bert/Desktop/projects/my-akka-http-project/.bloop/root/bloop-bsp-clients-classes/classes-Metals-P-c0-5kqRZSGRnu040wNrg==/META-INF/semanticdb/src/main/scala/com/example/UserRegistry.scala.semanticdb' doesn't exist. There can be many reasons for this error. [0m
2022.04.26 12:15:14 ERROR code navigation does not work for the file '/home/bert/Desktop/projects/my-akka-http-project/src/main/scala/com/example/UserRegistry.scala' because the SemanticDB file '/home/bert/Desktop/projects/my-akka-http-project/.bloop/root/bloop-bsp-clients-classes/classes-Metals-P-c0-5kqRZSGRnu040wNrg==/META-INF/semanticdb/src/main/scala/com/example/UserRegistry.scala.semanticdb' doesn't exist. There can be many reasons for this error. [0m
2022.04.26 12:15:14 ERROR code navigation does not work for the file '/home/bert/Desktop/projects/my-akka-http-project/src/main/scala/com/example/UserRegistry.scala' because the SemanticDB file '/home/bert/Desktop/projects/my-akka-http-project/.bloop/root/bloop-bsp-clients-classes/classes-Metals-P-c0-5kqRZSGRnu040wNrg==/META-INF/semanticdb/src/main/scala/com/example/UserRegistry.scala.semanticdb' doesn't exist. There can be many reasons for this error. [0m
2022.04.26 12:15:14 ERROR code navigation does not work for the file '/home/bert/Desktop/projects/my-akka-http-project/src/main/scala/com/example/UserRegistry.scala' because the SemanticDB file '/home/bert/Desktop/projects/my-akka-http-project/.bloop/root/bloop-bsp-clients-classes/classes-Metals-P-c0-5kqRZSGRnu040wNrg==/META-INF/semanticdb/src/main/scala/com/example/UserRegistry.scala.semanticdb' doesn't exist. There can be many reasons for this error. [0m
2022.04.26 12:15:15 ERROR code navigation does not work for the file '/home/bert/Desktop/projects/my-akka-http-project/src/main/scala/com/example/UserRegistry.scala' because the SemanticDB file '/home/bert/Desktop/projects/my-akka-http-project/.bloop/root/bloop-bsp-clients-classes/classes-Metals-P-c0-5kqRZSGRnu040wNrg==/META-INF/semanticdb/src/main/scala/com/example/UserRegistry.scala.semanticdb' doesn't exist. There can be many reasons for this error. [0m
2022.04.26 12:15:15 ERROR code navigation does not work for the file '/home/bert/Desktop/projects/my-akka-http-project/src/main/scala/com/example/UserRegistry.scala' because the SemanticDB file '/home/bert/Desktop/projects/my-akka-http-project/.bloop/root/bloop-bsp-clients-classes/classes-Metals-P-c0-5kqRZSGRnu040wNrg==/META-INF/semanticdb/src/main/scala/com/example/UserRegistry.scala.semanticdb' doesn't exist. There can be many reasons for this error. [0m
2022.04.26 12:15:15 ERROR code navigation does not work for the file '/home/bert/Desktop/projects/my-akka-http-project/src/main/scala/com/example/UserRegistry.scala' because the SemanticDB file '/home/bert/Desktop/projects/my-akka-http-project/.bloop/root/bloop-bsp-clients-classes/classes-Metals-P-c0-5kqRZSGRnu040wNrg==/META-INF/semanticdb/src/main/scala/com/example/UserRegistry.scala.semanticdb' doesn't exist. There can be many reasons for this error. [0m
2022.04.26 12:16:26 INFO  compiling root (4 scala sources)[0m
2022.04.26 12:16:28 INFO  time: compiled root in 1.34s[0m
2022.04.26 12:16:40 INFO  compiling root (1 scala source)[0m
